namespace ,class                             ,type                              ,id
foleys    ,LevelMeter                        ,lmTextColour                      ,0x2200001
foleys    ,LevelMeter                        ,lmTextDeactiveColour              ,0x2200002
foleys    ,LevelMeter                        ,lmTextClipColour                  ,0x2200003
foleys    ,LevelMeter                        ,lmTicksColour                     ,0x2200004
foleys    ,LevelMeter                        ,lmOutlineColour                   ,0x2200005
foleys    ,LevelMeter                        ,lmBackgroundColour                ,0x2200006
foleys    ,LevelMeter                        ,lmBackgroundClipColour            ,0x2200007
foleys    ,LevelMeter                        ,lmMeterForegroundColour           ,0x2200008
foleys    ,LevelMeter                        ,lmMeterOutlineColour              ,0x2200009
foleys    ,LevelMeter                        ,lmMeterBackgroundColour           ,0x220000A
foleys    ,LevelMeter                        ,lmMeterMaxNormalColour            ,0x220000B
foleys    ,LevelMeter                        ,lmMeterMaxWarnColour              ,0x220000C
foleys    ,LevelMeter                        ,lmMeterMaxOverColour              ,0x220000D
foleys    ,LevelMeter                        ,lmMeterGradientLowColour          ,0x220000E
foleys    ,LevelMeter                        ,lmMeterGradientMidColour          ,0x220000F
foleys    ,LevelMeter                        ,lmMeterGradientMaxColour          ,0x2200010
foleys    ,LevelMeter                        ,lmMeterReductionColour            ,0x2200011
foleys    ,StereoFieldComponent              ,backgroundColour                  ,0x2200101
foleys    ,StereoFieldComponent              ,borderColour                      ,0x2200102
foleys    ,StereoFieldComponent              ,outlineColour                     ,0x2200103
foleys    ,StereoFieldComponent              ,gonioColour                       ,0x2200104
foleys    ,StereoFieldComponent              ,currentValuesColour               ,0x2200105
foleys    ,StereoFieldComponent              ,maxValuesColour                   ,0x2200106
juce      ,AlertWindow                       ,backgroundColourId                ,0x1001800
juce      ,AlertWindow                       ,outlineColourId                   ,0x1001820
juce      ,AlertWindow                       ,textColourId                      ,0x1001810
juce      ,BooleanPropertyComponent          ,outlineColourId                   ,0x100e803
juce      ,BooleanPropertyComponent          ,textColourId                      ,0x100e801
juce      ,BubbleComponent                   ,backgroundColourId                ,0x1000af0
juce      ,BubbleComponent                   ,outlineColourId                   ,0x1000af1
juce      ,CaretComponent                    ,caretColourId                     ,0x1000204
